"TITLE","PATH","TYPE","SIZE","ADDED","ADDED BY","MODIFIED","MODIFIED BY","EXPIRES","PUBLISH STATUS","PUBLISHED","PUBLISHED BY","FREQUENCY","REFERENCES","SHRSS BRAND","SHRSS CATEGORY","SHRSS LOB","SHRSS PRODUCT","SHRSS PROPERTY","SHRSS TYPE","SHRSS VENUES","DC:TITLE","DC:DESCRIPTION","DC:SUBJECT","DC:FORMAT",
"asset.jpg","/content/dam/shrss/asset.jpg",IMAGE,69.5 KB,2025-10-16T14:20:15.786Z,admin,2015-01-01T00:00:00.000Z,admin,,Unpublished,,,0,"No references found","","","","","","","","","","","image/jpeg",
"2025-bmc-logo-v2.jpg","/content/dam/shrss/corporate/logos/2025-bmc-logo-v2.jpg",IMAGE,48.2 KB,2025-10-31T22:14:04.145Z,mross@adobe.com,2025-11-10T05:57:22.783Z,sambasivara@adobe.com,,Published,2025-11-10T06:14:39.028Z,sambasivara@adobe.com,0,"/content/shrss/corporate/hardrock/en/awards-recognition","","","","","","","","2025-bmc-logo-v2.jpg","","","image/jpeg",
"CRP-Logo-1101x766.jpg","/content/dam/shrss/corporate/logos/CRP-Logo-1101x766.jpg",IMAGE,118.5 KB,2026-01-14T22:23:30.316Z,carlos.aldana@shrss.com,2026-01-14T22:23:54.903Z,carlos.aldana@shrss.com,,Unpublished,,,0,"No references found","","","","","","","","","","","image/jpeg",
"Print","/content/dam/shrss/corporate/logos/CRP-Logo-250x100.jpg",IMAGE,40.6 KB,2026-01-14T21:53:17.635Z,carlos.aldana@shrss.com,2026-01-14T21:53:40.342Z,carlos.aldana@shrss.com,,Unpublished,,,0,"No references found","","","","","","","","Print","","","image/jpeg",
"CRP-Logo-400x400.jpg","/content/dam/shrss/corporate/logos/CRP-Logo-400x400.jpg",IMAGE,17.2 KB,2026-01-14T22:29:32.880Z,carlos.aldana@shrss.com,2026-01-14T22:30:00.833Z,carlos.aldana@shrss.com,,Unpublished,,,0,"No references found","","","","","","","","","","","image/jpeg",
"CRP-Logo-600x400.jpg","/content/dam/shrss/corporate/logos/CRP-Logo-600x400.jpg",IMAGE,35.6 KB,2026-01-14T22:32:38.499Z,carlos.aldana@shrss.com,2026-01-14T22:33:06.833Z,carlos.aldana@shrss.com,,Unpublished,,,0,"No references found","","","","","","","","","","","image/jpeg",
"CRP-Logo-800x400.jpg","/content/dam/shrss/corporate/logos/CRP-Logo-800x400.jpg",IMAGE,43.8 KB,2026-01-14T22:34:41.800Z,carlos.aldana@shrss.com,2026-01-14T22:35:09.959Z,carlos.aldana@shrss.com,,Published,2026-02-11T17:46:21.831Z,Don.Middlebrook@shrss.com,0,"No references found","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-international-announces-unity-by-hard-rock-mastercard-credit-card-for-loyalty-program-members","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-international-and-sports-illustrated-swimsuit-announce-continued-partnership-starting-with-release-of-2022-issue","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-international-joins-the-world-wildlife-fund-in-earth-hour-event-to-take-on-climate-change-2","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-hotel-and-casino-atlantic-city-pledges-bonuses-for-over-2-000-team-members","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-international-and-steinhauer-properties-to-develop-first-full-service-hotel-built-in-long-beach-in-30-years","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-kicks-off-construction-plans-for-its-temporary-casino-in-bristol-virginia","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-announced-as-presenting-partner-for-formula-1-heineken-silver-las-vegas-grand-prix","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-hotels-introduces-new-hotel-brand-with-the-launch-of-reverb-by-hard-rock-in-downtown-atlanta","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-cafe-launches-limited-time-st-patricks-day-menu-featuring-the-all-new-st-paddys-shake","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/mayor-eddie-melton-and-hard-rock-casino-announce-3-million-donation-to-revitalize-downtown-gary","","","","","","","","","","","image/jpeg",
"Hard Rock_News_logo.jpg","/content/dam/shrss/corporate/logos/Hard Rock_News_logo.jpg",IMAGE,27.2 KB,2025-10-31T22:14:04.369Z,mross@adobe.com,2025-11-14T19:31:24.455Z,mross@adobe.com,,Published,2025-11-18T17:44:59.472Z,workflow-process-service,0,"/content/shrss/corporate/hardrock/en/blog/hard-rock-hotel-and-casino-las-vegas-hits-pausevows-to-return-to-las-vegas","","","","","","","","","","","image/jpeg",
